,material,power,velocity,avg_depth,avg_length,avg_width
0,S31603,100,0.4,0.00010706185567010312,0.00016628865979381445,0.0001171134020618557
1,S31603,100,0.8,5.680412371134022e-05,0.0001261855670103093,0.00010474226804123712
2,S31603,100,1.2,3.742268041237114e-05,0.00013494845360824742,9.056701030927836e-05
3,S31603,100,1.6,3.217616580310882e-05,9.906735751295337e-05,7.72020725388601e-05
4,S31603,100,2.0,2.4635416666666665e-05,0.00014072916666666666,8.427083333333333e-05
5,S31603,200,0.4,0.0002143147208121828,0.0002682233502538071,0.0001486294416243655
6,S31603,200,0.8,0.0001203553299492386,0.00027675126903553294,0.00016964467005076145
7,S31603,200,1.2,8.360406091370558e-05,0.0002200507614213198,0.0001446192893401015
8,S31603,200,1.6,6.263959390862945e-05,0.00020456852791878174,0.00013969543147208125
9,S31603,200,2.0,4.8984771573604064e-05,0.00021421319796954315,0.00012807106598984776
10,S31603,300,0.4,0.00030777777777777786,0.0003258585858585859,0.00018676767676767677
11,S31603,300,0.8,0.0001740909090909091,0.00036520202020202014,0.00020015151515151514
12,S31603,300,1.2,0.00012555555555555557,0.0003534343434343435,0.00021131313131313132
13,S31603,300,1.6,9.373737373737373e-05,0.00030540404040404036,0.00018166666666666667
14,S31603,300,2.0,7.621212121212121e-05,0.0002736363636363636,0.00019060606060606057
15,S31603,400,0.4,0.0003896969696969697,0.00035909090909090906,0.00021090909090909095
16,S31603,400,0.8,0.00023000000000000006,0.0004416161616161616,0.00022898989898989902
17,S31603,400,1.2,0.00015838383838383838,0.00047196969696969694,0.00024803030303030305
18,S31603,400,1.6,0.0001265151515151515,0.00042994949494949485,0.0002437878787878788
19,S31603,400,2.0,0.00010060606060606061,0.0003930808080808081,0.0002267171717171717
